zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en calle Castillo, Trafalgar, Madrid",€1.050.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Abtao, Pacífico, Madrid",€945.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Agastia, San Pascual, Madrid",€890.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alcalá, 175, Goya, Madrid",€1.190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alcalá, 412, Pueblo Nuevo, Madrid",€1.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alcalá, Canillejas, Madrid",€854.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alcalá, Goya, Madrid",€3.960.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alcalá, Guindalera, Madrid",€1.195.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alcántara, s/n, Lista, Madrid",€1.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alfonso VI, 5, Palacio, Madrid",€380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alfonso VI, Palacio, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alfonso X, Almagro, Madrid",€1.150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Algemesí, Timón, Madrid",€1.070.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Almendrales, 33, Almendrales, Madrid",€1.015.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid",€1.990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alonso Carbonell, Chopera, Madrid",€590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Alustante, Prosperidad, Madrid",€2.678.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Américo Castro, Sanchinarro, Madrid",€1.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Andrés Mellado, Gaztambide, Madrid",€1.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Andrés Obispo, Canillas, Madrid",€485.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Antonio Acuña, Goya, Madrid",€2.550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Antonio Acuña, Ibiza, Madrid",€2.150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Antonio Acuña, s/n, Goya, Madrid",€1.999.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Antonio Gades, s/n, Ensanche de Vallecas - La Gavia, Madrid",€379.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Arturo Soria, 125, Colina, Madrid",€1.490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Atocha, Huertas-Cortes, Madrid",€1.100.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Ayala, Goya, Madrid",€1.085.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Bárbara de Braganza, Chueca-Justicia, Madrid",€2.090.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Beire, Bellas Vistas, Madrid",€425.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Benigno Soto, Ciudad Jardín, Madrid",€590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Benita López, Los Rosales, Madrid",€900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Bolivia, Bernabéu-Hispanoamérica, Madrid",€1.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Bravo Murillo, Cuatro Caminos, Madrid",€770.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Caleruega, Costillares, Madrid",€870.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Callejo, 10, San Diego, Madrid",€225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Canarias, 82, Palos de la Frontera, Madrid",€990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Canillas, Prosperidad, Madrid",€650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Carretas, 15, Sol, Madrid",€1.990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Cartagena, 1, Guindalera, Madrid",€399.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Castiello de Jaca, 14, Las Tablas, Madrid",€850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Cea Bermúdez, 63, Vallehermoso, Madrid",€890.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Claudio Coello, Castellana, Madrid",€3.600.000,,,,,,,,,,,,,,,,,,,,,,,
