zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Piso en calle Puerto de Cardoso, Palomeras Bajas, Madrid",€225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Reguera de Tomateros, 49, Entrevías, Madrid",€194.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Rufino Blanco, 26, Fuente del Berro, Madrid",€305.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle San Graciano, 3, Moscardó, Madrid",€380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Santa Clara, 4, Palacio, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Santa María Reina, 12 de Octubre-Orcasur, Madrid",€147.556,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Serrano, Castellana, Madrid",€1.680.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Tomás Meabe, Comillas, Madrid",€278.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Topete, Bellas Vistas, Madrid",€298.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle vargas, Nuevos Ministerios-Ríos Rosas, Madrid",€330.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Velázquez, 115, Castellana, Madrid",€410.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Vicente Camarón, Puerta del Ángel, Madrid",€335.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Villaveza, Villaverde Alto, Madrid",€170.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Virgen de las Viñas, 11, Santa Eugenia, Madrid",€146.600,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Carnero, 4, Lavapiés-Embajadores, Madrid",€250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Carrera de San Francisco, 5, Palacio, Madrid",€230.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en casco histórico de barajas, Casco Histórico de Barajas, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Casco Histórico de Vicálvaro, Madrid",€159.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Castellana, Madrid",€26.497.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Castilla, Madrid",€380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Chueca-Justicia, Madrid",€3.790.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Concepción, Madrid",€507.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Corredera Alta de San Pablo, Malasaña-Universidad, Madrid",€340.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en costanilla de los Desamparados, Huertas-Cortes, Madrid",€267.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en costanilla de San Andrés, Palacio, Madrid",€280.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Cruz, Sol, Madrid",€500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Cuatro Caminos, Madrid",€831.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Cuzco-Castillejos, Madrid",€229.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en de Embajadores, 89, Delicias, Madrid",€280.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en de Fernán González, Ibiza, Madrid",€959.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en de Francisco Silvela, Lista, Madrid",€699.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en de Ibiza, Ibiza, Madrid",€850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en de la Dirección, Berruguete, Madrid",€420.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en del Doctor Federico Rubio y Galí, Bellas Vistas, Madrid",€399.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en del Duque de Osuna, Malasaña-Universidad, Madrid",€525.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Delicias, Madrid",€474.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Diego de León, Guindalera, Madrid",€1.179.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en El Viso, Madrid",€2.644.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en embajadores, Lavapiés-Embajadores, Madrid",€497.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Entrevías, Madrid",€170.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en francisco silvela, 56, Guindalera, Madrid",€250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en francisco silvela, 60, Guindalera, Madrid",€270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Fuente del Berro, Madrid",€1.475.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Gaztambide, Madrid",€1.213.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Goya, Madrid",€16.888.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Gravina, Chueca-Justicia, Madrid",€650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Guindalera, Madrid",€365.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Huertas-Cortes, Madrid",€3.422.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Humilladero, 7, Palacio, Madrid",€435.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Ibiza, Madrid",€14.587.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Ibiza, s/n, Ibiza, Madrid",€900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Imperial, Madrid",€320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Jerónimos, Madrid",€8.635.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en La Palma, Sol, Madrid",€449.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en La Paz, Madrid",€890.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Lavapies Emabajadores, Lavapiés-Embajadores, Madrid",€157.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Lavapies Embajadores, Lavapiés-Embajadores, Madrid",€230.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Lavapiés-Embajadores, Madrid",€5.211.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Lista, Madrid",€24.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Malasaña-Universidad, Madrid",€8.849.005,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Manuel Maroto, 76, San Diego, Madrid",€135.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Montera, Sol, Madrid",€919.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Moscardó, Madrid",€200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en naranjo, Berruguete, Madrid",€195.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Niño Jesús, Madrid",€1.910.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Nueva España, Madrid",€590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Numancia, Madrid",€329.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Olivo, Aravaca, Madrid",€230.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Pacífico, Madrid",€310.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Palacio, Madrid",€4.431.616,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Paloma, Palacio, Madrid",€450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Palomeras Bajas, Madrid",€430.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Palomeras sureste, Madrid",€328.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Palos de la Frontera, Madrid",€315.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en pasaje de Áncora, Palos de la Frontera, Madrid",€220.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de Federico García Lorca, Casco Histórico de Vallecas, Madrid",€215.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de la Castellana, 173, Cuzco-Castillejos, Madrid",€1.075.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de la Dirección, Berruguete, Madrid",€430.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de la Esperanza, Acacias, Madrid",€1.434.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de la Reina Cristina, Jerónimos, Madrid",€375.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de la Reina Cristina, Pacífico, Madrid",€1.125.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de las Acacias, Acacias, Madrid",€108.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de las delicias, 79, Delicias, Madrid",€165.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de las Delicias, Delicias, Madrid",€1.363.400,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de las Delicias, Palos de la Frontera, Madrid",€438.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de las Delicias, s/n, Delicias, Madrid",€240.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de las Yeserías, Acacias, Madrid",€275.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de los Pontones, 11, Imperial, Madrid",€615.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de los Pontones, Imperial, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de Marcelino Camacho, Vista Alegre, Madrid",€125.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de San Francisco de Sales, Vallehermoso, Madrid",€3.256.130,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de Santa María de la Cabeza, 17, Palos de la Frontera, Madrid",€465.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo de Santa María de la Cabeza, Palos de la Frontera, Madrid",€782.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo del General Martínez Campos, Almagro, Madrid",€2.190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo del Prado, Huertas-Cortes, Madrid",€235.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en paseo Infanta Isabel, 23, Jerónimos, Madrid",€617.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de Carlos Cambronero, 5, Malasaña-Universidad, Madrid",€300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de Chueca, 3, Chueca-Justicia, Madrid",€290.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de España, Argüelles, Madrid",€598.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de la R. Dominicana, Nueva España, Madrid",€650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de Lavapiés, Lavapiés-Embajadores, Madrid",€200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de Manuel Becerra, Goya, Madrid",€299.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de Olavide, Trafalgar, Madrid",€1.190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza de Ribadeo, 4, Pilar, Madrid",€126.800,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza Lavapiés, Lavapiés-Embajadores, Madrid",€340.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en plaza Memoria Vinculante, Orcasitas, Madrid",€110.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Pradolongo, Madrid",€311.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Preciados, 33, Sol, Madrid",€350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Príncipe de Vergara, 289, Nueva España, Madrid",€550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Puerta Bonita, Madrid",€394.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Puerta del Ángel, Madrid",€168.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en puerta del Sol, Sol, Madrid",€316.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Quintana, Madrid",€195.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Recoletos, Madrid",€42.126.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en ronda de Atocha, Palos de la Frontera, Madrid",€1.546.400,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en ronda de Segovia, 33, Palacio, Madrid",€214.166,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en ronda de Segovia, Imperial, Madrid",€977.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en ronda de Toledo, Acacias, Madrid",€225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en ronda del Sur, 187, Entrevías, Madrid",€168.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Sainz De Baranda, 53, Niño Jesús, Madrid",€780.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en San Diego, Madrid",€351.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Simancas, Madrid",€320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Sol, Madrid",€6.590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en toledo, 46, Palacio, Madrid",€450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Trafalgar, Madrid",€650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en travesía del Doctor Sánchez, San Diego, Madrid",€145.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en travesía del Reloj, Palacio, Madrid",€514.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Valdeacederas, Madrid",€295.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Valdebernardo - Valderrivas, Madrid",€722.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Velazquez, Castellana, Madrid",€585.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Ventas, Madrid",€229.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Vinateros, Madrid",€325.000,,,,,,,,,,,,,,,,,,,,,,,
,,,ND,"Ático en Trafalgar, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en Ambroz, Madrid",€399.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en Ángel Beato, 22, Peñagrande, Madrid",€7.775.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en Aravaca, Madrid",€4.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida Albufera, 64, Numancia, Madrid",€150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida Carondelet, Conde Orgaz-Piovera, Madrid",€4.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida de Alfonso XIII, 174, Nueva España, Madrid",€2.900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida de Fuentelarreina, Ciudad Universitaria, Madrid",€2.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida de Fuentelarreina, s/n, Ciudad Universitaria, Madrid",€2.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida de Juan Andrés, Valdezarza, Madrid",€725.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida de Miraflores, Ciudad Universitaria, Madrid",€2.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida de Ramón y Cajal, 16, Ciudad Jardín, Madrid",€2.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida de Valdemarín, Valdemarín, Madrid",€4.450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida del Papa Negro, 1, Conde Orgaz-Piovera, Madrid",€3.800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida Fuentelarreina, Ciudad Universitaria, Madrid",€2.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en avenida Fuentelarreyna, Ciudad Universitaria, Madrid",€2.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en Bellas Vistas, Madrid",€1.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Alsasua, 6, Aravaca, Madrid",€17.640.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Angel Beato, s/n, Peñagrande, Madrid",€2.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Araiz, Aravaca, Madrid",€1.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Barrial, Aravaca, Madrid",€3.100.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Benita Ávila, 36, Canillas, Madrid",€850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Benita Ávila, Canillas, Madrid",€850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Cacabelos, Valdebebas - Valdefuentes, Madrid",€1.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle castillo de aysa, Conde Orgaz-Piovera, Madrid",€5.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Conde de Eleta, Vista Alegre, Madrid",€375.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Álvaro Caballero, 9, El Plantío, Madrid",€1.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Argentona, Valdemarín, Madrid",€2.100.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Basilio de Prado, Peñagrande, Madrid",€1.815.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Bolarque, Aravaca, Madrid",€5.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Cartagena, 110, Guindalera, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Eladio López Vilches, Costillares, Madrid",€720.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Goitia, s/n, Concepción, Madrid",€1.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Guecho, El Plantío, Madrid",€16.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Guerrero y Mendoza, Ciudad Jardín, Madrid",€7.425.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Guisando, Ciudad Universitaria, Madrid",€3.890.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Guisando, s/n, Ciudad Universitaria, Madrid",€4.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Joaquín Jorge Alarcón, Peñagrande, Madrid",€1.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Juan de Urbieta, Niño Jesús, Madrid",€2.150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de la Bahía de Santander, Campo de las Naciones-Corralejos, Madrid",€920.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de la Charca Verde, Ciudad Jardín, Madrid",€2.395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de la Isla de Nelson, 34, Valdezarza, Madrid",€575.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de la Isla de Oza, Ciudad Universitaria, Madrid",€1.325.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de las Islas Bikini, Peñagrande, Madrid",€1.680.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de las Palomeras, San Diego, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Levante, Castilla, Madrid",€2.610.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de López Puigcerver, Ciudad Universitaria, Madrid",€2.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de los Carrascales, s/n, Pradolongo, Madrid",€887.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Luis de la Mata, Palomas, Madrid",€2.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Manipa, Concepción, Madrid",€1.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Mercedes Fórmica, Fuente del Berro, Madrid",€2.400.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Nuria, Mirasierra, Madrid",€2.475.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Pardo Bazán, Bernabéu-Hispanoamérica, Madrid",€2.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Pérez Cidón, 7, Concepción, Madrid",€2.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Pérez Cidón, Concepción, Madrid",€5.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Torrebeleña, Fuentelarreina, Madrid",€2.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Vedra, 47, Entrevías, Madrid",€195.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Vitruvio, El Viso, Madrid",€6.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle de Zumárraga, El Plantío, Madrid",€2.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Genil, El Viso, Madrid",€6.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Maestro Ripoll, El Viso, Madrid",€8.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Marqués de Villabrágima, Peñagrande, Madrid",€1.990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Monte Perdido, 47, San Diego, Madrid",€725.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Nacimiento, Simancas, Madrid",€190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Pinar del Rey, Pinar del Rey, Madrid",€800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Portal, 43, Simancas, Madrid",€285.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle del Zenit, Aravaca, Madrid",€3.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Francisco Lizcano, Buena Vista, Madrid",€1.590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Gallegos, 6, Casco Histórico de Vicálvaro, Madrid",€700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Grama, 25, Valdebebas - Valdefuentes, Madrid",€1.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Guecho, El Plantío, Madrid",€8.400.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Jimena Menéndez Pidal, 26, Valdemarín, Madrid",€9.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Lamiaco, El Plantío, Madrid",€9.900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Montejurra, s/n, Ventas, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Monteverde, Alameda de Osuna, Madrid",€1.225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Navalmanzano, Ciudad Universitaria, Madrid",€1.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Paradores, 3, El Plantío, Madrid",€2.800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Paradores, El Plantío, Madrid",€2.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Peguerinos, Ciudad Universitaria, Madrid",€3.900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Princesa Micomicona, Tres Olivos - Valverde, Madrid",€1.975.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Puebla de Sanabria, 25, Villaverde Alto, Madrid",€520.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Serramagna, Conde Orgaz-Piovera, Madrid",€5.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Siguero, Fuentelarreina, Madrid",€3.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Teresa Orozco, 12, Aravaca, Madrid",€3.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Triunfo, 28011, Puerta del Ángel, Madrid",€279.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Valdivieso, 8, Aravaca, Madrid",€480.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Vellón, 19, Peñagrande, Madrid",€490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Venta Vieja, 7, El Plantío, Madrid",€2.380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casa o chalet independiente en calle Venta Vieja, El Plantío, Madrid",€1.900.000,,,,,,,,,,,,,,,,,,,,,,,
