provincia,zona,titulo,PrecioActual,PrecioAnterior,metros,habitaciones,ascensor,localizacion,planta,baños,tags,descripcion,Enlace
madrid,usera,"Dúplex en calle de la Verja, Zofío, Madrid",295000,305000,110,6,N,EXTERIOR,1ª,0,DÚPLEX,"Dúplex de 110 m2 más derecho de vuelo, distribuido en:Primera planta: salón con cocina, 2 dormitorios y baño.Segunda planta: 3 dormitorios y baño.Situado en zona con todos los servicios (frente a la Junta Municipal de Usera, Biblioteca, Centro de Salud, Comisaria... ) junto a calle Rafaela Ybarra y a dos minutos d",https://www.idealista.com/inmueble/107232513/
madrid,centro,"Piso en calle del Olivar, Lavapiés-Embajadores, Madrid",250000,0,47,1,S,INTERIOR,1ª,0,"VIVIENDA,OPORTUNIDAD","La oportunidad perfecta para vivir en uno de los barrios con más vida de Madrid!Urbantec Realty te presenta esta encantadora vivienda, ideal para quienes buscan comodidad y una ubicación inmejorable.Características principales:•Superficie: 47 m² construidos, aprovechados al máximo.•Distribución: Espacio abierto q",https://www.idealista.com/inmueble/107035441/
madrid,barrio-de-salamanca,"Piso en calle de Diego de León, Lista, Madrid",2550000,0,307,4,S,EXTERIOR,3ª,0,"VIVIENDA,PISO,EXCLUSIVA,LUJO,ESPECTACULAR,REFORMADA","MB Urban presenta en exclusiva este espectacular piso de lujo de 307 m² en el corazón del Barrio de Salamanca, una de las zonas más cotizadas y demandadas de Madrid.Esta vivienda ha sido completamente reformada con un exquisito diseño contemporáneo, consiguiendo que la luminosidad, la amplitud y la tranquilidad la co",https://www.idealista.com/inmueble/106905181/
madrid,carabanchel,"Piso en calle Algorta, San Isidro, Madrid",275000,0,96,3,N,EXTERIOR,BAJO,0,"VIVIENDA,TERRAZA,AMPLIO,FINCA,INMOBILIARIA,CASA,PATIO","Inmobiliaria en Carabanchel - Oca - Tecnocasa Consulting Espada Sl, vende vivienda ubicada en la Calle Algorta, compuesta de 3 dormitorios, amplio salón independiente, cocina con terraza, baño completo y aseo. Finca con patio comunitario y de fácil acceso para personas con movilidad reducida.La vivienda se encuentra",https://www.idealista.com/inmueble/107130469/
madrid,villa-de-vallecas,"Ático en avenida del Ensanche de Vallecas, Ensanche de Vallecas - La Gavia, Madrid",315000,0,61,1,S,EXTERIOR,8ª,0,"TERRAZA,ÁTICO,INMOBILIARIA,EXTERIOR","INMOBILIARIA LÓPEZ & MORENO vende fabuloso y coqueto ático exterior de 61m2, se distribuye en 1 dormitorio, salón-comedor, cocina completa, tendededero, un cuarto de baño completo con plato de ducha y una amplia además de luminosa terraza de 53,38 m2. Calidades: ventanas de climalit, paredes lisas, suelos de tarima, ar",https://www.idealista.com/inmueble/106984818/
madrid,centro,"Piso en calle de Esparteros, Sol, Madrid",1790000,0,214,2,S,EXTERIOR,4ª,2,"VIVIENDA,PISO,EXCLUSIVA,LUJO","GILMAR presenta en exclusiva este magnífico piso de lujo en la emblemática zona de Sol, en el distrito Centro de Madrid. Con una superficie de 214 m2, esta vivienda cuenta con 2 dormitorios y 2 baños, lo que la convierte en el espacio perfecto para una pareja o una familia pequeña.Al entrar en el piso, se puede aprec",https://www.idealista.com/inmueble/106956191/
madrid,vicalvaro,"Piso en calle Provisional Berrocales 81 10, s/n, Los Berrocales, Madrid",358400,0,80,2,S,EXTERIOR,5ª,0,"VIVIENDA,ÁTICO,NUEVO","Obras iniciadas.Célere Domus está ubicado en el nuevo desarrollo urbanístico de los Berrocales, situado en el sureste de Madrid, entre Ensanche de Vallecas y Santa Eugenia.Esta promoción de obra nueva, es un conjunto residencial formado por 74 viviendas de 1, 2 y 3 dormitorios distribuidas en altura, bajos y áticos",https://www.idealista.com/inmueble/106716497/
madrid,chamberi,"Piso en calle de Alberto Aguilera, Gaztambide, Madrid",700000,0,133,3,S,INTERIOR,5ª,2,"VIVIENDA,TERRAZA,HOGAR,APARTAMENTO,REFORMAR","Descubre esta espaciosa vivienda de 133 m² ubicada en el corazón de Gaztambide, Chamberí. Este apartamento cuenta con 3 dormitorios y 2 baños, ofreciendo un lienzo perfecto para reformar y crear el hogar de tus sueños. La propiedad incluye una terraza privada ideal para disfrutar del aire libre, además de un práctico t",https://www.idealista.com/inmueble/106653882/
madrid,chamartin,"Piso en Prosperidad, Madrid",505000,525000,110,4,N,EXTERIOR,2ª,0,"VIVIENDA,PISO,EXCLUSIVA,HOGAR",Gilmar Consulting Inmobiliario presenta en EXCLUSIVA la venta de una vivienda ubicada en una zona cómoda y cercana a diversos barrios de la almendra madrileña del barrio de Prosperidad y Avenida de América. Este piso destaca por su gran potencial y está esperando a ser transformado en el hogar de tus sueños.La vivien,https://www.idealista.com/inmueble/107121776/
madrid,centro,"Piso en plaza de Tirso de Molina, Lavapiés-Embajadores, Madrid",288000,0,49,1,S,EXTERIOR,5ª,0,"VIVIENDA,PISO,REFORMADO","Encantador piso en la Plaza Tirso de Molina.Se vende acogedor piso de 49 m² en la emblemática Plaza de Tirso de Molina, una de las zonas más céntricas y mejor comunicadas de Madrid. Esta vivienda cuenta con una habitación principal y la posibilidad de una segunda en el altillo. El piso ha sido completamente reformado",https://www.idealista.com/inmueble/107243456/
